id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
66553824,['Redacción'],PRENSA,2017-07-31T04:55:59Z,Registra Edomex importante crecimiento económico,Diario de México,IMPRESO,Nota Informativa,Diario,13646.0,Metropolitano,"El gobernador Eruviel Ávila informó que el Edomex tuvo un crecimiento económico. Toluca, Méx El gobernador Eruviel Ávila Villegas informó que producto de las acciones innovadoras que facilitan la apertura de negocios y La llegada de más inversiones, el Instituto Nacional de Estadística y Geografía ( INEGI ) dio a conocer que el Estado de México registró un mayor crecimiento económico en comparación con el resto de las entidades del país, pues de acuerdo con un estudio, en el primer semestre del año, el Edomex tuvo un incremento de 5.2 por ciento, mientras que La media nacional fue de 2.7 por ciento. El INEGI acaba de dar a conocer que en el primer trimestre de este año 2017, el Estado de México presentó un crecimiento económico anual del 5.2 por ciento en la actividad económica estatal, superior a la media nacional que es de 2.7. Es decir, el Estado de México ha crecido mucho más respecto a la media nacional, destacó el mandatario mexiquense. Este logro, abundó el gobernador, obedece a la colaboración que existe con los poderes públicos y con el sector empresarial en la entidad, así como al trabajo de la Consejería Jurídica, desde donde se impulsó la expedición del Dictamen Único de Factibilidad, como un primer paso para hacer más sencilla la apertura de negocios. Asimismo, Eruviel Ávila destacó que el crecimiento de 5.2 por ciento, es la ci fra más alta registrada durante la actual administración, y consideró que estos resultados son muestra de la solidez económica de la entidad, que le permite ser un lugar ideal para vivir y para emprender negocios."
66528055,['Notimex'],PRENSA,2017-07-28T03:07:27Z,Evitará el Emisor Oriente inundaciones en la CDMX,Diario de México,IMPRESO,Nota Informativa,Diario,17090.5,República,"O EL túnel permitirá desalojar hasta 150 metros cúbicos de agua por segundo en la capital NOTIMEX Roberto Ramírez de la Parra, titular de la Comisión Nacional del Agua, indicó que con una inversión de 23 mil 300 millones de pesos, el Túnel Emisor Oriente incrementará la capacidad de desalojo del agua de la Ciudad de México hasta 70 por ciento. Así lo aseguró el titular de la Comisión Nacional del Agua ( Conagua al hacer un recorrido a las obras que se llevan a cabo en este túnel, el cual tendrá una longitud de 62 kilómetros con 40 metros. Ramírez de la Parra destacó la importancia de esta obra, que ayudará a resolver el problema de las inundaciones que se generan por las intensas lluvias que afectarán al Valle de México en 2018. Francisco Muñiz Pereyra, subdirector general de Agua Potable, Drenaje y Saneamiento de la Conagua, indicó que el líquido que captará este emisor, cuyo túnel tiene siete metros de diámetro, llegará a la planta de tratamiento de Atotonilco, donde las aguas serán tratadas. El túnel permitirá desalojar hasta 150 metros cúbicos de agua por segundo en la ciudad y recordó que la inversión inicial fue de 11 mil millones de pesos. La modificación implicó aumentar la inversión a 16 millones de pesos, pero debido a los cambios que se presentaron durante su construcción, se volvieron a hacer dos convenios más de modificación para conclusión en agosto de 2018. Ramírez de la Parra aclaró que los convenios se debieron a diversos factores, y el primero fue porque originalmente este contrato no tenía un proyecto."
66315911,['Hugo Hernández'],PRENSA,2017-07-07T03:40:48Z,.,Diario de México,IMPRESO,Nota Ocho Columnas,Diario,1.0,Portada,.
66292297,['Notimex'],PRENSA,2017-07-05T01:58:21Z,Registran tres mil 400 denuncias por violar uso de suelo,Diario de México,IMPRESO,Nota Informativa,Diario,10494.7,Nacional,"NOTIMEX Las denuncias por violación de uso de suelo en construcciones representan 35% de los recursos presentados por los ciudadanos ante la Procuraduría Ambiental y del Ordenamiento Territorial ( PAOT afirmó su titular Miguel Ángel Cancino. En el marco del convenio que la PAOT firmó con el Colegio de Notarios de la capital, añadió que el año pasado se registraron tres mil 400 denuncias y en lo que va de éste llevan más o menos el mismo porcentaje, lo que representa la mayoría de las quejas. Otras causas de denuncias incluyen maltrato animal, con casi 29 ruido y vibraciones, con 18, y en menor medida temas como la contaminación visual, de áreas naturales protegidas, barracas, gases olores y vapores, barrancas, aguas, residuos reas de valor ambiental, protegidas ( en suelo urbano ) y aire. La preocupación de esta ciudad con violaciones al uso de suelo y la transformación de su entorno hace que acudan a instancias como la PAOT, dijo el funcionario. Explicó que los notarios juegan un papel muy importante en toda la formalización de operaciones inmobiliarias. O La PAOT reveló datos respecto a obras."
66552318,['Redacción'],PRENSA,2017-07-31T03:12:22Z,Ratifican compromiso con ejercicios electorales,Diario de México,IMPRESO,Nota Informativa,Diario,5918.94,Nacional,"ToLuca, Méx Comprometido con eL desarroLLo democrático y La promoción de La cuLtura poLítica democrática, eL Instituto ELectoraL deL Estado de México ( IEEM a Lo Largo de 21 años, ha posibilitado eL ejercicio de Los derechos poLítico eLectoraLes de La ciudadanía registrada en La Lista NominaL de ELectores, mediante La organización, desarroLLo y vigiLancia de 15 eLecciones, de Las cuaLes 11 han sido ordinarias y 4 extraordinarias. De 1996 a La fecha, La Lista NominaL de ELectoraL se ha incrementado notoriamente, aL pasar de 6 miLLones 161 miL 186 registrados en La primera elección que organizo eL IEEM, a 11 miLLones 312 miL 917 ciudadanos que LegaLmente estuvieron acreditados en eL Estado de México para ejercer su voto en La Jornada ELectoraL deL 4 de junio ( 47.57% hombres y 52.43% mujeres ). EL niveL de participación se ha incre mentado, de taL forma que en 1996 fue de 46.5% y en La úLtima eLección, que fue para gubernatura, eL 53% de Los electores emitió su voto en Las urnas; Lo que también se refleja en eL número de casillas instaladas, pues en 1996 eL IEEM instaló 11 mil 663, y ahora, mediante un esquema de coordinación, y bajo La responsabilidad deL INE, en La pasada eLección de gobernador se instalaron 18 mil 605 casillas."
66315302,['Redacción'],PRENSA,2017-07-07T02:45:30Z,Esclarecen la muerte de Lesby; se ahorcó frente a su novio,Diario de México,IMPRESO,Nota de Portada,Diario,12011.1,Portada,"REDACCIÓN @DDMexico A dos meses del asesinato de Lesby Berlín Orozco, la Procuraduría General de justicia capitalina cumplirá una orden de aprehensión contra la pareja sentimental de la víctima, por la posible participación en el feminicidio ocurrido al interior de Ciudad Universitaria. De acuerdo con las cámaras de seguridad ubicadas a un costado del Circuito Escolar, se pudo apreciar una discusión entre ellos, suscitada momentos antes de que la víctima se colocara alrededor de su cuello el cable de la bocina de la caseta telefónica y se deslizara dejándose caer lo que le provocó la muerte, hechos que sucedieron en presencia de su acompañante, quien no evitó lo ocurrido. Para aclarar los hechos, se practicaron 16 entrevistas y se realizó el análisis de más de veinte horas de grabaciones, lo que permitió al Agente del Ministerio Público establecer el deceso. Además, se realizaron más de 25 peritajes, entre los cuales destacan la necropsia y mecánica de lesiones. O El cuerpo de La víctima fue hallado el 3 de mayo."
66292138,['Redacción'],PRENSA,2017-07-05T01:42:32Z,Darán cárcel a recolectores de `fierro viejo` en la CDMX,Diario de México,IMPRESO,Nota de Portada,Diario,21905.6,Portada,"MI CIUDAD 7 Darán cárcel a recolectores de fierro viejo en la CDMX ALDF APRUEBA PUNTO DE ACUERDO Compradores de fierro viejo, en peligro de extinción O En la Ciudad de México se generan a diario siete mil toneladas de basura de este tipo REDACCIÓN @DDMexico Los compradores del fierro viejo, colchones y otros aparatos eléctricos que no cuenten con emblemas del Gobierno de la Ciudad de México, serán penados hasta con cuatro años de prisión y una mulla de 50 a dos mil veces la unidad de medida y actualización. De acuerdo con la Asamblea Legislativa estos no dan un trato adecuado a los enseres que recolectan en las calles de la capital. El presidente de la Comisión de Medio Ambiente, Xavier López Adame, indicó que las unidades que recojan dicha basura deben portar los distintivos oficiales para que de esta manera se formalice dicha actividad, así como distinguir a personas que lo hacen de manera ilegal. El asambleísta del Partido Verde Ecologista de México destacó también que con esta reforma, se obliga tanto a autoridades delegacionales, como del gobierno central, a un manejo adecuado del cascajo y darle una confinación final en lugares específicos. En materia del Código Penal, se establece como delito la autori zación por parte de aquellos servidores públicos, de la descarga, depósito o transporte de residuos sólidos, sin que se reúnan los requisitos relativos al pago de derechos respectivo, señaló. De acuerdo con la Universidad Nacional Autónoma de México ( UNAM ) a diario se generan siete mil toneladas de cascajo, es decir, más de la mitad del peso de los residuos de esta urbe, calculados en 12 mil 600 toneladas diarias. Los expertos de la UNAM calculan que sólo alrededor del 40% se dispone de manera adecuada, por lo que el restante causa problemas ambientales y de seguridad, pues el cascajo puede interrumpir el paso del agua en una barranca y provocar inundaciones, afectaciones a los ecosistemas, o simplemente dañar la imagen urbana, dijo el académico Constantino Gutiérrez. Por su parte, López Adame señaló que los trabajadores del servicio público de limpia puedan realizar convenios con las áreas competentes del gobierno capitalino, para permitirles la administración de sus centros de trabajo. Adicionalmente, dijo, las reformas se enfocan a mitigar paulatinamente el vertedero de los residuos procedentes de la construcción y de la demolición, los de actividades de poda y las llantas. O Las multas Llegan hasta los cuatro años de prisión o dos mil veces la unidad de medida. O En la Ciudad de México se generan a diario siete mil toneladas de basura de este tipo REDACCIÓN @DDMexico Los compradores del fierro viejo, colchones y otros aparatos eléctricos que no cuenten con emblemas del Gobierno de la Ciudad de México, serán penados hasta con cuatro años de prisión y una mulla de 50 a dos mil veces la unidad de medida y actualización. De acuerdo con la Asamblea Legislativa estos no dan un trato adecuado a los enseres que recolectan en las calles de la capital. El presidente de la Comisión de Medio Ambiente, Xavier López Adame, indicó que las unidades que recojan dicha basura deben portar los distintivos oficiales para que de esta manera se formalice dicha actividad, así como distinguir a personas que lo hacen de manera ilegal. El asambleísta del Partido Verde Ecologista de México destacó también que con esta reforma, se obliga tanto a autoridades delegacionales, como del gobierno central, a un manejo adecuado del cascajo y darle una confinación final en lugares específicos. En materia del Código Penal, se establece como delito la autori zación por parte de aquellos servidores públicos, de la descarga, depósito o transporte de residuos sólidos, sin que se reúnan los requisitos relativos al pago de derechos respectivo, señaló. De acuerdo con la Universidad Nacional Autónoma de México ( UNAM ) a diario se generan siete mil toneladas de cascajo, es decir, más de la mitad del peso de los residuos de esta urbe, calculados en 12 mil 600 toneladas diarias. Los expertos de la UNAM calculan que sólo alrededor del 40% se dispone de manera adecuada, por lo que el restante causa problemas ambientales y de seguridad, pues el cascajo puede interrumpir el paso del agua en una barranca y provocar inundaciones, afectaciones a los ecosistemas, o simplemente dañar la imagen urbana, dijo el académico Constantino Gutiérrez. Por su parte, López Adame señaló que los trabajadores del servicio público de limpia puedan realizar convenios con las áreas competentes del gobierno capitalino, para permitirles la administración de sus centros de trabajo. Adicionalmente, dijo, las reformas se enfocan a mitigar paulatinamente el vertedero de los residuos procedentes de la construcción y de la demolición, los de actividades de poda y las llantas."
66382662,['Redacción'],PRENSA,2017-07-14T02:03:06Z,Irrumpe comando en fiesta infantil y asesina a 11 personas,Diario de México,IMPRESO,Nota de Portada,Diario,34535.7,Portada,"REDACCION @DDMexico Un grupo armado irrumpió en un domicilio y asesinó a 11 personas en el Municipio de Tizayuca, Hidalgo, informaron fuentes de seguridad. La Fiscalía local dio a conocer que en la casa se celebraba una fiesta infantil. Entre los muertos hay dos niños. De acuerdo con el reporte, el ataque ocurrió alrededor de la medianoche del miércoles en la comunidad de Tepojaco, en el Fraccionamiento Villas de los Milagros. Según la información de la Secretaría de Seguridad Pública del estado, cuyo reporte se dio alrededor de las 00:10 horas de ayer, los agresores irrumpieron en el domicilio y al parecer iban encapuchados. En conferencia de prensa, el fiscal del estado, Javier Lara Ramírez, precisó que ninguna de las víctimas presentaba impactos de bala, de acuerdo con las necropsias practicadas a los cuerpos en el Servicio Médico Forense ( Semefo murieron por heridas ocasionadas por armas punzo cortante. El asesinato múltiple ocurrió en una zona residencial y entre las víctimas hay familiares y amigos que asistieron a la reunión. Los cadáveres fueron encontrados por elementos de la Secretaría de Seguridad Pública luego de recibir una llamada a la línea de emergencia 911. Cuatro menores de edad, de entre dos y 16 años de edad, sobrevivieron al ataque registrado en la madrugada de ayer. Peritos en criminalidad de la fiscalía del estado de Hidalgo trabajan en el lugar para esclarecer los hechos y dar con el paradero de los responsables del crimen. 7 mujeres fallecieron durante el ataque 4 hombres fueron asesinados"
66339590,['Redacción'],PRENSA,2017-07-10T07:01:02Z,Denuncian ilegalidad de Fuerza Conago,Diario de México,IMPRESO,Nota Informativa,Diario,4460.01,Nacional,"REDACCION @DDMexico Miguel Barbosa, vicecoordinador del Movimiento de Regeneración Nacional ( Morena ) en el Senado, denunció que la Fuerza Conago es inconstitucional e ilegal, y constituye una acción de promoción electoral del jefe de Gobierno de la Ciudad de México, Miguel Ángel Mancera. Al fijar su postura sobre este dispositivo detalló que la Conferencia de Nacional de Gobernadores ( Conago ) carece de atribuciones para ejercer el uso de la fuerza legítima del Estado. OTROS ESTADOS LA HAN PEDIDO: MANCERA Luego de considerar positivo el balance que se tiene de Fuerza Conago, pues así lo marcan los co mentarios de la gente de Acapulco, Guerrero, Mancera dijo que hay peticiones concretas para que lo mismo se realice en Puebla e Hidalgo. Lo que no se puede hacer es entrar a un territorio en donde no hay autorización, pero teniéndola no se tiene ningún problema, detalló. Por otra parte, reiteró que se prevé salgan de la cárcel cuatro mil personas cuyos delitos ya no son considerados graves."
66551864,['Notimex'],PRENSA,2017-07-31T02:43:15Z,Luego de un enfrentamiento la delegación prohibió la instalación del tianguis Texcoco,Diario de México,IMPRESO,Nota de Portada,Diario,20098.9,Portada,"NOTIMEX La delegación Iztapalapa, en coordinación con la Secretaría de Seguridad Pública capitalina y autoridades del municipio de Nezahualcóyotl suspendieron este domingo la instalación del tianguis de la avenida Texcoco, luego de un enfrentamiento armado e irregularidades. La jefa delegacional en Iztapalapa, Dione Anguiano Flores, afirmó que el enfrentamiento con armas de fuego que se registró el domingo pasado no fue por una extorsión derivada del cobro de piso, sino por la disputa entre dirigentes de los comerciantes. Anguiano Flores destacó que la determinación responde a la atención a quejas de vecinos de las colonias aledañas a la avenida Texcoco, en el territorio que corresponde a la Ciudad de México, por irregularidades en la operación de este tianguis. Informó que en el transcurso de la semana se reunirán las autoridades de Iztapalapa y Nezahualcóyotl con los dirigentes de los comerciantes para acordar las condiciones en que se podrá reanudar la actividad comercial, pero sin duda tendrán que cumplir con la normatividad y los principios de orden y limpieza. Entre las irregularidades detectadas en el tianguis están las disputas entre dirigentes de los comerciantes por allegarse agremiados, espacios de venta y cobro de cuotas; comercialización ilegal de bebidas alcohólicas y medicamentos; bloqueo de pasos para peatones y vehículos de emergencia, así como de cruces de calles y avenidas. Las quejas vecinales también derivan de la basura que generan los más de tres mil 500 comerciantes. En tanto, la Secretaría de Seguridad Pública capitalina desplegó mil 500 elementos del Agolpamiento de Granaderos para garantizar la suspensión de la actividad del tianguis. La jefa delegacional recordó que se han realizado, desde diciembre de 2015 a la fecha, más de 60 supervisiones y recorridos, y se han aplicado 15 operativos contra la venta de bebidas alcohólicas y medicamentos. Luego de 15 horas de trabajo, la delegación Iztapalapa reportó saldo blanco en el operativo de seguridad, Dione Anguiano afirmó que se elaborará un reglamento que incluye 14 puntos que constituyen una propuesta para crear un prototipo para los mercados sobre ruedas. O Los vendedores pidieron a Dione explicaciones sobre los hechos."
